"sample_id","source_record_id","ein","name","bucket","ntee","metadata_signal_score","selection_hash","exact_contract_matches","contract_ids","contract_scope","local_relevance","plausible_intervention","decision","reason","primary_url","primary_checked","primary_finding","review_status","population","dose","cost_anchor","utility_bridge","funding_room_usd","priority_rank"
"84","irs:942914799","942914799","SAN FRANCISCO MUSLIM COMMUNITY CENTER","unknown","","1","0594168d60ed0e660b444933f06f7dfa2240b84eac121f451bd6926fc6792db6","0","","","SF IRS filing address only; actual Bay delivery unknown","Faith/community entity: verify direct human-service program before exclusion.","priority-for-identity-and-program-check","Faith/community entity: verify direct human-service program before exclusion. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"85","irs:943016765","943016765","CHRISTIAN COMMUNITY IN THE UNITED STATES SAN FRANCISCO CENTER","unknown","","1","0c3f2393e2c35753894acfd7b8a6b98938fc51ee0d84e3839e329de73c766f60","0","","","SF IRS filing address only; actual Bay delivery unknown","Religious entity: no direct service identified from metadata alone.","defer-scope-or-role","Religious entity: no direct service identified from metadata alone. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"86","irs:942982442","942982442","AFFORDABLE HOUSING ALLIANCE","unknown","","1","0fcb1b886f6ec4216dfeda7fb073b446b01ba4f02e427264cda7c9bce0d54875","0","","","SF IRS filing address only; actual Bay delivery unknown","Housing alliance: advocacy versus actual housing unknown.","priority-for-identity-and-program-check","Housing alliance: advocacy versus actual housing unknown. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"87","irs:770235139","770235139","SEVERNS FAMILY FOUNDATION","unknown","","1","10495b71758235dc589b428199b9bfd8ca62fd171a659d4253f698f7f686f32b","0","","","SF IRS filing address only; actual Bay delivery unknown","Family foundation: grantmaker role suspected, not confirmed inactive.","defer-scope-or-role","Family foundation: grantmaker role suspected, not confirmed inactive. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"88","irs:941212136","941212136","SAN FRANCISCO SENIOR CENTER","unknown","","1","1102f309f3bcea5e24175fc7c48cc97b6b2f4fd67bc64e5ce571ef92dafc7af6","0","","","SF IRS filing address only; actual Bay delivery unknown","Senior center: day activity or meals plausible; legal parent/alias check.","priority-for-identity-and-program-check","Senior center: day activity or meals plausible; legal parent/alias check. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"89","irs:942939505","942939505","GRACE FELLOWSHIP COMMUNITY CHURCH OF SAN FRANCISCO","unknown","","1","112d5c975edc81900a2f40dc64b7b6317e0c849062748ddb314edd8be9fe4267","0","","","SF IRS filing address only; actual Bay delivery unknown","Faith/community entity: assess any direct-care program before exclusion.","defer-scope-or-role","Faith/community entity: assess any direct-care program before exclusion. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"90","irs:943138992","943138992","BREAST CANCER ACTION","unknown","Z99Z","1","129f9f15b56a30a1387d046cb8612575185e779cab9c35e5cc916f8ed5ca5c1d","0","","","SF IRS filing address only; actual Bay delivery unknown","Breast-cancer advocacy: distinguish policy research from direct care.","priority-for-identity-and-program-check","Breast-cancer advocacy: distinguish policy research from direct care. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"91","irs:941657247","941657247","JOHN M BRYAN FAMILY FUND","unknown","","1","16bc822d100338716c200d429e1e00973919b4ab8699c2fd65f3a81dc5adfe0e","0","","","SF IRS filing address only; actual Bay delivery unknown","Family fund: grantmaking likely; beneficiary program unverified.","defer-scope-or-role","Family fund: grantmaking likely; beneficiary program unverified. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"92","irs:941156335","941156335","JEWISH COMMUNITY RELATIONS COUNCIL OF SAN FRANCISCO MARIN & PENINSULA","unknown","","1","1f188b78abdd466e95b96ead70cb9d1cb948c2d8bb7f94b23f203484f1d64bef","0","","","SF IRS filing address only; actual Bay delivery unknown","Community-relations organization: civic mission, no direct health dose.","defer-scope-or-role","Community-relations organization: civic mission, no direct health dose. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"93","irs:237328621","237328621","CANCER CARE FOUNDATION OF SAN FRANCISCO","unknown","","1","234825b54a9cbeca7d407fb612fa44922dbb07b26bd50170aabc9b7fb0435e7f","0","","","SF IRS filing address only; actual Bay delivery unknown","Cancer-care foundation: direct aid versus fundraising unresolved.","priority-for-identity-and-program-check","Cancer-care foundation: direct aid versus fundraising unresolved. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"94","irs:943248631","943248631","CHILDRENS DAY SCHOOL INC","unknown","","1","24ac568769cdee731a7071a3b298b37a52ac1ec6666b9c6a9488053b9e4b447f","0","","","SF IRS filing address only; actual Bay delivery unknown","Day school: general education not a health-specific mechanism.","defer-scope-or-role","Day school: general education not a health-specific mechanism. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"95","irs:941254639","941254639","HOLY VIRGIN COMMUNITY OF SAN FRANCISCO","unknown","","1","25300d11ad464fe8e3896e93ef023e2e7a5124cc3e50ef30e065d094d37b97f7","0","","","SF IRS filing address only; actual Bay delivery unknown","Religious community: direct service unknown, do not exclude by faith alone.","defer-scope-or-role","Religious community: direct service unknown, do not exclude by faith alone. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"96","irs:450897823","450897823","SARLO FAMILY FOUNDATION","unknown","","1","2557ee4a892168c9eb5249a19f40ad10b165db5df31f19750b5d76a5f372fda7","0","","","SF IRS filing address only; actual Bay delivery unknown","Family foundation: direct local delivery not identified.","defer-scope-or-role","Family foundation: direct local delivery not identified. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"97","irs:941747575","941747575","BAYVIEW HUNTERS POINT FOUNDATION FOR COMMUNITY IMPROVEMENT INC","unknown","","1","268bdb882a3b96b74f797c1fb548c0d74001d23ea9e904cbd93d6e018fa79a8f","0","","","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Methadone continuity after jail release: strong clinical pathway to investigate.","priority-program-diligence","Methadone continuity after jail release: strong clinical pathway to investigate. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.bayviewci.org/behavioral-health-services","2026-09-08","Provider verifies outpatient and SF jail methadone plus adult/youth behavioral care at Bayview. Postrelease medication continuity is analyst proposal, not verified marginal service offer.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","10"
"98","irs:943023917","943023917","THE BARNSTON-KOUTSAFTIS FAMILY FOUNDATION","unknown","","1","280002ed4f409b64ac78c81c94416eceec77446e84e4c58b3c3d4140ec1929e3","0","","","SF IRS filing address only; actual Bay delivery unknown","Family foundation: grantee/intermediary role unresolved.","defer-scope-or-role","Family foundation: grantee/intermediary role unresolved. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"99","irs:943213337","943213337","METRO SENIOR HOMES INC","unknown","","1","285267f2d3c04a6d7348e0af4452bb5286928e6ea42bef58a6280e5285fddb19","0","","","SF IRS filing address only; actual Bay delivery unknown","Senior housing property: verify operator versus service entity and avoid double count.","priority-for-identity-and-program-check","Senior housing property: verify operator versus service entity and avoid double count. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"100","irs:943262543","943262543","HERCULES SENIOR HOUSING INC","unknown","","1","28aa21af5ff3af8e3da555039f6dc7e63e3e19ce3df0a4765b33007d56de52ac","0","","","SF IRS filing address only; actual Bay delivery unknown","Senior housing name: SF address may be administrative, not actual local property.","priority-for-identity-and-program-check","Senior housing name: SF address may be administrative, not actual local property. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
